fullFilename,name,path,size,date,
"D:\docs\Unreal Projects\sanct\Content\castle_front_u01.uasset","castle_front_u01.uasset","D:\docs\Unreal Projects\sanct\Content","131971","2019-10-17 22:10:49",
"D:\docs\Unreal Projects\sanct\Content\FootstepsWidget.uasset","FootstepsWidget.uasset","D:\docs\Unreal Projects\sanct\Content","98200","2019-10-08 12:51:03",
"D:\docs\Unreal Projects\sanct\Content\SM_MERGED_SM_CastleWall-flat1.uasset","SM_MERGED_SM_CastleWall-flat1.uasset","D:\docs\Unreal Projects\sanct\Content","124241","2019-10-17 22:10:49",
"D:\docs\Unreal Projects\sanct\Content\SM_MERGED_SM_CastleWall6m_93.uasset","SM_MERGED_SM_CastleWall6m_93.uasset","D:\docs\Unreal Projects\sanct\Content","124172","2019-10-17 22:10:49",
"D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Blueprints\BP_FireCoals_01a.uasset","BP_FireCoals_01a.uasset","D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Blueprints","111446","2019-10-20 12:52:44",
"D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Maps\Demonstration_BuiltData.uasset","Demonstration_BuiltData.uasset","D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Maps","335545610","2019-10-20 12:52:45",
"D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Maps\Overview_BuiltData.uasset","Overview_BuiltData.uasset","D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Maps","8929697","2019-10-20 12:52:45",
"D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Functions\MF_Fresnel_01a.uasset","MF_Fresnel_01a.uasset","D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Functions","104636","2019-10-20 12:52:45",
"D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Functions\MF_Sand_01a.uasset","MF_Sand_01a.uasset","D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Functions","94499","2019-10-20 12:52:45",
"D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Instances\MI_Band_01a.uasset","MI_Band_01a.uasset","D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Instances","170572","2019-10-20 12:52:45",
"D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Instances\MI_Bangle_01a.uasset","MI_Bangle_01a.uasset","D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Instances","163991","2019-10-20 12:52:45",
"D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Instances\MI_Bangle_01b.uasset","MI_Bangle_01b.uasset","D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Instances","174475","2019-10-20 12:52:45",
"D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Instances\MI_Bowl_01a.uasset","MI_Bowl_01a.uasset","D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Instances","161237","2019-10-20 12:52:45",
"D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Instances\MI_Bowl_01b.uasset","MI_Bowl_01b.uasset","D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Instances","164507","2019-10-20 12:52:45",
"D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Instances\MI_Chalice_01.uasset","MI_Chalice_01.uasset","D:\docs\Unreal Projects\sanct\Content\AncientTreasures\Materials\Instances","156086","2019-10-20 12:52:45",
